,date,open,high,low,close,volume,turnover
1746,2021-07-05,35225.48,35239.23,33187.09,33704.41,13.578128,465619.06171732
1745,2021-07-06,33704.41,35098.33,33578.49,34224.45,3.802583,130161.32053056
1744,2021-07-07,34224.45,35008.17,33800.68,33865.3,4.92434,169941.81730696
1743,2021-07-08,33865.3,33921.53,32235.82,32892.17,18.33107,599444.01601145
1742,2021-07-09,32892.17,34077.01,32307.11,33815.88,9.554352,316174.10759636
1741,2021-07-10,33815.88,34233.49,33055.38,33509.32,4.168134,140604.53685983
1740,2021-07-11,33509.32,34586.63,33326.11,34246.51,13.776442,467099.43531046
1739,2021-07-12,34246.51,34650.0,32665.68,33109.63,13.101666,435280.19288345
1738,2021-07-13,33109.63,33324.49,32206.81,32715.61,12.811375,421642.3920268
1737,2021-07-14,32715.61,33074.3,31605.25,32823.9,11.78523,380449.31344244
1736,2021-07-15,32823.9,33167.42,31150.0,31861.82,49.931742,1587363.04941004
1735,2021-07-16,31861.82,32235.05,31042.08,31390.98,49.591002,1572089.6654981
1734,2021-07-17,31390.98,31970.57,31170.0,31512.99,16.499096,519700.36284282
1733,2021-07-18,31512.99,32416.17,31150.0,31778.75,51.190212,1624703.8292661
1732,2021-07-19,31778.75,31891.94,30469.5,30819.86,45.645321,1415999.76335522
1731,2021-07-20,30819.86,31050.0,29314.77,29782.8,115.334421,3439814.62220021
1730,2021-07-21,29782.8,32817.63,29513.9,32137.21,103.9724,3275633.37623013
1729,2021-07-22,32137.21,32496.63,31728.28,32310.43,49.528767,1591089.67464281
1728,2021-07-23,32310.43,33631.55,32013.22,33631.55,67.196901,2197272.83064912
1727,2021-07-24,33631.55,34467.08,33409.59,34270.0,62.298059,2105199.4953865
1726,2021-07-25,34270.0,35386.12,33864.49,35348.21,87.532324,3014452.84640137
1725,2021-07-26,35348.21,40564.19,35242.89,37252.28,284.339773,10873765.55771645
1724,2021-07-27,37252.28,39500.0,36410.5,39500.0,152.052798,5739165.48887707
1723,2021-07-28,39500.0,40889.15,38800.01,39987.87,181.90394,7251512.06385664
1722,2021-07-29,39987.87,40612.3,39292.52,40015.2,97.664092,3896644.98251359
1721,2021-07-30,40015.2,42290.0,38328.58,42195.18,193.017448,7673764.55381353
