,date,open,high,low,close,volume,turnover
1746,2021-07-05,2326.15,2593.09,2162.34,2196.64,42.0948,95801.498915
1745,2021-07-06,2196.64,2347.88,2195.15,2322.98,49.786,115067.735995
1744,2021-07-07,2322.98,2405.75,2294.78,2315.49,66.4896,157501.737105
1743,2021-07-08,2315.49,2322.58,2087.82,2117.13,179.1746,389372.150824
1742,2021-07-09,2117.13,2187.14,2049.65,2146.11,78.5511,166695.48632
1741,2021-07-10,2146.11,2191.66,2077.32,2110.95,16.8648,35736.443355
1740,2021-07-11,2110.95,2172.54,2081.68,2139.54,72.658,155823.096805
1739,2021-07-12,2139.54,2168.35,2009.27,2034.54,144.3255,301765.238731
1738,2021-07-13,2034.54,2043.4,1918.89,1940.81,104.6116,208002.578736
1737,2021-07-14,1940.81,2018.0,1867.51,1994.93,122.522,235630.975532
1736,2021-07-15,1994.93,2042.94,1880.21,1917.92,266.2878,511703.604416
1735,2021-07-16,1917.92,1962.24,1850.08,1876.11,273.3662,518168.784225
1734,2021-07-17,1876.11,1917.95,1846.69,1899.18,217.1095,409691.471406
1733,2021-07-18,1899.18,1991.79,1879.78,1890.92,298.9386,578518.438023
1732,2021-07-19,1890.92,1917.28,1806.0,1818.3,442.7209,815923.249285
1731,2021-07-20,1818.3,1840.17,1720.0,1785.32,512.1054,900978.643418
1730,2021-07-21,1785.32,2023.45,1756.45,1994.0,893.454,1713810.796113
1729,2021-07-22,1994.0,2050.0,1950.33,2024.72,383.8124,768220.173763
1728,2021-07-23,2024.72,2130.0,1999.25,2122.42,802.6518,1649862.786487
1727,2021-07-24,2122.42,2197.93,2106.62,2184.04,475.6227,1022746.859632
1726,2021-07-25,2184.04,2196.61,2107.7,2190.43,549.6635,1185499.673631
1725,2021-07-26,2190.43,2431.03,2172.0,2229.74,1563.3649,3640805.808829
1724,2021-07-27,2229.74,2364.06,2153.07,2300.0,1081.3765,2430954.79944
1723,2021-07-28,2300.0,2343.36,2248.96,2298.57,1113.8057,2553300.89195
1722,2021-07-29,2298.57,2398.07,2267.0,2380.49,526.6095,1226698.009994
1721,2021-07-30,2380.49,2469.02,2317.5,2461.93,1309.697,3122880.770024
1720,2021-07-31,2461.93,2552.81,2422.2,2530.0,944.3745,2328475.608329
1719,2021-08-01,2530.0,2698.0,2515.09,2555.96,1650.5328,4308274.804868
1718,2021-08-02,2555.96,2665.32,2510.0,2609.08,955.398,2482174.307332
1717,2021-08-03,2609.08,2631.15,2446.0,2508.99,1507.8855,3768446.516401
1716,2021-08-04,2508.99,2770.8,2460.79,2726.19,1257.7873,3310974.016503
1715,2021-08-05,2726.19,2844.21,2533.11,2828.46,2676.0179,7327820.141817
1714,2021-08-06,2828.46,2948.97,2722.31,2892.05,2064.707,5866420.049514
1713,2021-08-07,2892.05,3170.42,2864.56,3161.54,2977.8907,9064227.90135
1712,2021-08-08,3161.54,3189.84,2950.0,3011.94,1674.4158,5121049.785684
1711,2021-08-09,3011.94,3186.14,2896.79,3162.58,1886.8677,5789320.996024
1710,2021-08-10,3162.58,3233.06,3050.69,3140.44,1507.1337,4715535.609703
1709,2021-08-11,3140.44,3272.0,3123.66,3163.94,1693.0128,5454058.168348
1708,2021-08-12,3163.94,3236.59,2980.8,3046.76,1773.138,5490278.9795
1707,2021-08-13,3046.76,3328.82,3034.9,3323.9,2693.0155,8692883.381195
1706,2021-08-14,3323.9,3331.7,3205.49,3264.44,1231.9253,4019164.827535
1705,2021-08-15,3264.44,3320.0,3114.65,3309.08,1744.2082,5590092.581262
1704,2021-08-16,3309.08,3337.3,3150.11,3153.56,2019.32565,6565019.6693786
1703,2021-08-17,3153.56,3290.0,2994.0,3012.17,2772.63179,8753965.5323466
1702,2021-08-18,3012.17,3124.75,2952.02,3014.19,1938.17635,5892604.6520795
1701,2021-08-19,3014.19,3188.36,2962.01,3187.03,2026.78183,6174641.0320232
1700,2021-08-20,3187.03,3303.41,3177.94,3286.59,1783.02146,5780093.2658696
1699,2021-08-21,3286.59,3310.14,3207.65,3222.97,938.49864,3064758.2429719
1698,2021-08-22,3222.97,3273.83,3130.0,3240.87,1069.94136,3428368.7081273
1697,2021-08-23,3240.87,3378.23,3232.75,3324.22,1671.32016,5554243.1491959
1696,2021-08-24,3324.22,3360.57,3149.92,3171.01,1537.38548,4996165.9534646
1695,2021-08-25,3171.01,3248.7,3080.0,3228.79,1681.02151,5353262.7123193
1694,2021-08-26,3228.79,3250.18,3058.0,3087.35,2084.46825,6501269.447375
1693,2021-08-27,3087.35,3281.57,3061.46,3275.0,1586.7767,5058370.3412331
1692,2021-08-28,3275.0,3286.16,3209.38,3245.14,1007.17432,3265031.6998821
1691,2021-08-29,3245.14,3285.0,3153.34,3225.01,1138.39593,3655559.4730978
1690,2021-08-30,3225.01,3347.99,3145.54,3226.71,1691.55595,5479139.2421453
1689,2021-08-31,3226.71,3472.67,3191.42,3432.65,3222.20859,10732311.6976191
1688,2021-09-01,3432.65,3841.57,3384.01,3830.27,2272.42965,8173452.3188467
1687,2021-09-02,3830.27,3835.68,3720.0,3785.98,3239.35262,12198191.5383875
1686,2021-09-03,3785.98,4027.65,3711.14,3935.95,2770.48227,10790853.1485504
1685,2021-09-04,3935.95,3968.57,3834.52,3885.43,1865.56303,7273036.5555455
1684,2021-09-05,3885.43,3980.0,3836.36,3949.41,1664.69733,6519450.4444245
1683,2021-09-06,3949.41,3969.49,3867.12,3926.12,1367.89617,5375975.6722936
1682,2021-09-07,3926.12,3946.63,3011.75,3431.58,4183.12179,14803372.3571465
1681,2021-09-08,3431.58,3556.07,3212.21,3496.0,2352.0116,8015358.9611272
1680,2021-09-09,3496.0,3564.39,3391.99,3424.07,1530.21488,5337908.7587597
1679,2021-09-10,3424.07,3512.61,3149.42,3208.69,1916.26413,6399744.0864594
1678,2021-09-11,3208.69,3347.16,3201.14,3266.42,1253.75147,4108994.3975426
1677,2021-09-12,3266.42,3471.44,3231.15,3407.72,1132.93867,3821995.6190726
1676,2021-09-13,3407.72,3431.26,3115.33,3284.37,2196.45052,7113885.6159505
1675,2021-09-14,3284.37,3436.0,3272.29,3436.0,1388.32098,4639839.7301765
1674,2021-09-15,3436.0,3613.88,3361.42,3611.0,1573.01097,5445592.8962173
1673,2021-09-16,3611.0,3673.3,3480.01,3567.67,1490.57056,5354939.4912034
1672,2021-09-17,3567.67,3592.0,3350.0,3398.24,1137.69506,3942126.5828764
1671,2021-09-18,3398.24,3540.0,3371.25,3436.39,972.25332,3362724.9142433
1670,2021-09-19,3436.39,3455.0,3280.86,3328.85,1140.99877,3834218.3853491
1669,2021-09-20,3328.85,3344.0,2923.73,2977.21,7378.20006,22742083.6475201
1668,2021-09-21,2977.21,3103.69,2656.07,2764.87,8080.57554,23184059.9872132
1667,2021-09-22,2764.87,3088.0,2740.12,3076.67,4662.99706,13648714.8588895
1666,2021-09-23,3076.67,3170.81,3031.83,3150.13,5653.58657,17574946.2789704
1665,2021-09-24,3150.13,3155.33,2738.88,2926.41,10956.67237,31662312.4766755
1664,2021-09-25,2926.41,2964.87,2805.01,2920.75,5960.31619,17296882.797796
1663,2021-09-26,2920.75,3112.59,2740.22,3063.59,6610.53756,19308755.0835929
1662,2021-09-27,3063.59,3163.21,2926.02,2928.03,4594.68485,14022837.6752867
1661,2021-09-28,2928.03,2968.74,2790.71,2806.89,5964.18124,17255389.01377
1660,2021-09-29,2806.89,2945.57,2784.57,2849.0,5047.15664,14452491.3197641
1659,2021-09-30,2849.0,3048.0,2837.12,3001.16,5002.70726,14922821.4674904
1658,2021-10-01,3001.16,3329.99,2970.0,3308.62,4044.82334,12852241.020133
1657,2021-10-02,3308.62,3467.0,3260.0,3386.49,2993.3915,9985164.4769662
1656,2021-10-03,3386.49,3485.31,3346.33,3416.83,2479.352,8461020.2185408
1655,2021-10-04,3416.83,3434.99,3271.18,3380.88,5382.25127,18085784.4183577
1654,2021-10-05,3380.88,3542.41,3364.03,3513.45,4681.34067,16113031.5002921
1653,2021-10-06,3513.45,3630.0,3346.0,3575.3,6860.00653,24063700.7420891
1652,2021-10-07,3575.3,3657.91,3474.34,3587.64,5933.13762,21196693.735924
1651,2021-10-08,3587.64,3667.99,3535.41,3558.71,4718.72833,17006082.9331211
1650,2021-10-09,3558.71,3629.99,3540.04,3574.17,4363.46727,15668605.6011823
1649,2021-10-10,3574.17,3605.72,3410.0,3416.96,5117.45876,18078789.2700632
1648,2021-10-11,3416.96,3620.0,3379.11,3542.33,4718.97617,16664275.5409526
1647,2021-10-12,3542.33,3543.88,3401.91,3490.0,4941.73226,17202083.2269699
1646,2021-10-13,3490.0,3609.0,3411.54,3604.75,4372.4003,15272794.8874279
1645,2021-10-14,3604.75,3826.25,3585.59,3787.83,4719.93398,17546573.2355562
1644,2021-10-15,3787.83,3899.98,3733.51,3865.24,5169.98954,19721831.3604065
1643,2021-10-16,3865.24,3967.99,3803.2,3826.74,4039.28621,15666098.2659127
