,timestamp,open,high,low,close,volume,turnover
1732,2021-07-20,0.5571,0.59497,0.51713,0.52861,245438.56,130735.6833848
1731,2021-07-21,0.52861,0.5837,0.51966,0.5715,618269.56,344019.3452009
1730,2021-07-22,0.5715,0.60321,0.56093,0.59214,747128.11,437388.4701851
1729,2021-07-23,0.59214,0.61,0.57564,0.60915,575784.56,342409.9404423
1728,2021-07-24,0.60915,0.6204,0.60008,0.60887,919142.53,558207.1929571
1727,2021-07-25,0.60887,0.6118,0.59095,0.60677,386251.48,232229.8115509
1726,2021-07-26,0.60677,0.67866,0.6051,0.62384,1900443.1,1228319.4039927
1725,2021-07-27,0.62384,0.65261,0.61279,0.64566,1097955.03,697022.3013661
1724,2021-07-28,0.64566,0.75234,0.63142,0.73285,2346557.27,1658748.1515834
1723,2021-07-29,0.73285,0.7663,0.6978,0.74955,1306585.71,934520.5034577
1722,2021-07-30,0.74955,0.76966,0.71265,0.75205,1384345.83,1023184.5092325
1721,2021-07-31,0.75205,0.75856,0.738,0.74547,785284.28,587722.1567024
1720,2021-08-01,0.74547,0.7777,0.70181,0.72441,1137769.37,861833.4046998
1719,2021-08-02,0.72441,0.77336,0.71588,0.73978,1204136.26,897097.528277
1718,2021-08-03,0.73978,0.74472,0.7015,0.71325,1075501.41,770050.9770095
1717,2021-08-04,0.71325,0.7398,0.69657,0.7306,844359.13,607521.5859069
1716,2021-08-05,0.7306,0.7388,0.7017,0.7332,1369461.63,988295.3903933
1715,2021-08-06,0.7332,0.75275,0.72292,0.7473,1750009.58,1295447.1899229
1714,2021-08-07,0.7473,0.8187,0.7412,0.817,2957240.61,2332768.819693
1713,2021-08-08,0.817,0.84099,0.7729,0.77885,1527251.75,1228538.5235226
1712,2021-08-09,0.77885,0.82799,0.76,0.8174,2442261.71,1963517.5798671
1711,2021-08-10,0.8174,0.8627,0.8,0.85255,2798669.49,2304851.5396534
1710,2021-08-11,0.85255,1.08917,0.8483,1.0123,3701526.4,3507972.1052621
1709,2021-08-12,1.0123,1.0448,0.9237,0.9648,4158641.28,4095755.7889265
1708,2021-08-13,0.9648,1.0961,0.9511,1.0898,3763920.78,3884128.0304666
1707,2021-08-14,1.0898,1.31118,1.07159,1.28075,4482430.9,5268147.6435361
1706,2021-08-15,1.28075,1.3481,1.22923,1.2848,3325905.34,4289841.4004152
1705,2021-08-16,1.2848,1.3286,1.15,1.1855,3468689.27,4348417.5499839
1704,2021-08-17,1.1855,1.223,1.0865,1.0984,3829709.04,4495881.0230945
1703,2021-08-18,1.0984,1.1938,1.0533,1.1438,4176586.75,4659574.6382959
1702,2021-08-19,1.1438,1.2355,1.0879,1.2341,4443262.82,5094141.7735936
1701,2021-08-20,1.2341,1.2872,1.1995,1.26031,4115562.16,5110298.8533081
1700,2021-08-21,1.26031,1.28,1.2031,1.216,2599582.97,3219321.6137135
1699,2021-08-22,1.216,1.2535,1.1725,1.2257,2431137.26,2959456.4491919
1698,2021-08-23,1.2257,1.3025,1.20623,1.2451,3798798.01,4748384.1873994
1697,2021-08-24,1.2451,1.2632,1.1156,1.1352,3712496.09,4419563.8038259
1696,2021-08-25,1.1352,1.1757,1.1071,1.173,3098722.65,3566164.3506959
1695,2021-08-26,1.173,1.1848,1.0649,1.0698,3364970.4,3733342.5364816
1694,2021-08-27,1.0698,1.1875,1.0495,1.1875,3762817.28,4195981.1840681
1693,2021-08-28,1.1875,1.1941,1.133,1.1454,2738813.19,3173589.1808129
1692,2021-08-29,1.1454,1.1659,1.1118,1.1397,2317501.41,2638461.9764115
1691,2021-08-30,1.1397,1.1499,1.097,1.1007,3270554.52,3688338.3283068
1690,2021-08-31,1.1007,1.2415,1.0918,1.1863,3110295.81,3601571.8524946
1689,2021-09-01,1.1863,1.2377,1.1587,1.2371,3671846.94,4405010.5880093
1688,2021-09-02,1.2371,1.2956,1.2214,1.2534,3606153.3,4544049.909112
1687,2021-09-03,1.2534,1.3234,1.2221,1.2886,5074758.22,6480777.0536821
1686,2021-09-04,1.2886,1.296,1.2381,1.2557,2553345.82,3239690.7056416
1685,2021-09-05,1.2557,1.312,1.2366,1.30679,2386379.95,3040763.997675
1684,2021-09-06,1.30679,1.4151,1.30679,1.3898,6073576.26,8256391.6355816
1683,2021-09-07,1.3898,1.3919,0.95687,1.12709,22844331.63,26863702.1661914
1682,2021-09-08,1.12709,1.147,1.01462,1.09789,6472995.56,7052261.0555152
1681,2021-09-09,1.09789,1.1372,1.07539,1.08581,5288584.55,5851758.4367999
1680,2021-09-10,1.08581,1.24254,1.0313,1.0548,5901206.22,6519077.049645
1679,2021-09-11,1.0548,1.1119,1.05039,1.0772,3400092.07,3679729.6486414
1678,2021-09-12,1.0772,1.12648,1.05781,1.1189,2772612.95,3031105.1529319
1677,2021-09-13,1.1189,1.1258,1.02552,1.0642,4085749.67,4327532.684531
1676,2021-09-14,1.0642,1.09667,1.05732,1.0947,4047580.78,4349791.5276038
1675,2021-09-15,1.0947,1.1258,1.0758,1.11861,3256081.41,3580620.0816366
1674,2021-09-16,1.11861,1.1275,1.0655,1.088,3340303.54,3679412.2249021
1673,2021-09-17,1.088,1.09968,1.0492,1.066,3607761.09,3860570.3992285
1672,2021-09-18,1.066,1.0938,1.05641,1.0758,1757215.82,1896365.2787775
1671,2021-09-19,1.0758,1.0834,1.0399,1.048,1747317.11,1862239.262937
1670,2021-09-20,1.048,1.04969,0.8764,0.9216,7985809.26,7528217.1091043
1669,2021-09-21,0.9216,0.9582,0.858,0.8705,6795338.38,6200987.8444877
1668,2021-09-22,0.8705,1.0055,0.8671,1.00041,7718065.68,7312327.6322174
1667,2021-09-23,1.00041,1.01459,0.966,0.9987,4834936.14,4788054.7578555
1666,2021-09-24,0.9987,0.99978,0.88131,0.9428,7080612.94,6627593.7610978
1665,2021-09-25,0.9428,0.9553,0.9143,0.93928,2847315.48,2671769.8187747
1664,2021-09-26,0.93928,0.956,0.8909,0.9435,3464183.99,3219191.8091806
1663,2021-09-27,0.9435,0.9798,0.9188,0.9196,2816835.42,2678057.3185957
1662,2021-09-28,0.9196,0.93911,0.88871,0.8907,3896742.99,3594391.9687564
1661,2021-09-29,0.8907,0.9629,0.8843,0.9255,4238083.31,3928967.877147
1660,2021-09-30,0.9255,0.961,0.9101,0.9515,4257699.13,4009722.9382115
1659,2021-10-01,0.9515,1.0633,0.9433,1.0381,5787692.01,5790805.5011681
1658,2021-10-02,1.0381,1.0702,1.0066,1.03687,3426422.75,3539688.7081761
1657,2021-10-03,1.03687,1.0867,1.0223,1.0551,3372549.94,3562208.1983572
1656,2021-10-04,1.0551,1.059,1.0059,1.04161,3337849.62,3451815.3691775
1655,2021-10-05,1.04161,1.0852,1.0366,1.08329,3590826.49,3799954.8093921
1654,2021-10-06,1.08329,1.1045,1.0157,1.075,5148859.04,5492858.6180405
1653,2021-10-07,1.075,1.0914,1.0413,1.0656,2750824.56,2942721.9300821
1652,2021-10-08,1.0656,1.0845,1.0527,1.05997,3497309.42,3748427.8903273
1651,2021-10-09,1.05997,1.20597,1.0542,1.1573,3082561.38,3472479.3689381
1650,2021-10-10,1.1573,1.22561,1.1274,1.1354,3809345.27,4467728.9992868
1649,2021-10-11,1.1354,1.1812,1.1041,1.13701,3578681.37,4114866.6485777
1648,2021-10-12,1.13701,1.13701,1.0651,1.10031,4348407.99,4768397.6361293
1647,2021-10-13,1.10031,1.1378,1.0752,1.12768,2470768.75,2723993.0128259
1646,2021-10-14,1.12768,1.15644,1.1182,1.1322,3059640.95,3466129.3837738
1645,2021-10-15,1.1322,1.1626,1.09,1.1389,4989134.5,5642428.3649464
1644,2021-10-16,1.1389,1.1815,1.1278,1.132,3863427.54,4442111.5456101
1643,2021-10-17,1.132,1.13905,1.02,1.092,4129765.24,4578109.5972294
1642,2021-10-18,1.092,1.10499,1.06395,1.0812,3306133.16,3591691.8203929
1641,2021-10-19,1.0812,1.09829,1.0645,1.0887,3610245.91,3914393.8959738
1640,2021-10-20,1.0887,1.14999,1.0837,1.1396,5630749.18,6299647.379518
1639,2021-10-21,1.1396,1.161,1.08,1.0843,6326784.84,7121865.0033978
1638,2021-10-22,1.0843,1.1265,1.0731,1.08511,5703666.8,6241551.5487493
1637,2021-10-23,1.08511,1.0993,1.0745,1.0901,4208597.79,4566240.9377716
1636,2021-10-24,1.0901,1.0929,1.051,1.0805,4591891.72,4945092.9510121
1635,2021-10-25,1.0805,1.0985,1.0759,1.0919,5584887.24,6077592.180397
1634,2021-10-26,1.0919,1.15689,1.0875,1.10468,7749776.22,8633653.1848283
1633,2021-10-27,1.10468,1.12199,0.9464,0.9912,10024896.27,10433370.9056684
