Complexity,Loss,Equation
1,4.690581e6,"x10"
3,4.0196198e6,"x10 + x22"
5,3.6292848e6,"(x22 * 2.5412488) + x10"
6,2.9723882e6,"exp(x18 / -1.3250927) * x1"
8,2.7208115e6,"(exp(x18 / -1.4653463) * x6) - x21"
9,2.5135032e6,"(x6 - (x12 * (x18 - 0.8670654))) / 1.8806553"
11,2.4841518e6,"((x6 - (x12 * (x18 - 0.8630096))) / 1.8894658) + 352.55505"
13,2.4839128e6,"((x6 + 2.1171048) - ((x18 - 0.93080634) * (x12 + 681.0254))) / 1.9585701"
14,2.4722172e6,"((log(x23) * 131.4536) + (x6 - (x12 * (x18 - 0.86672956)))) / 1.8976374"
16,2.471317e6,"((log(x23 / 5.3398027) * 234.999) + (x6 - (x12 * (x18 - 0.88072574)))) / 1.9170916"
